"Evt_lab","Start","End","TotalRain","Max_Intensity","Dur_hr","PreDry_Dur_hr"
551,1952-07-07 12:00:00,1952-07-07 16:00:00,11.18,6.1,5,11
553,1952-07-10 14:00:00,1952-07-10 16:00:00,5.07,2.79,3,69
555,1952-07-13 13:00:00,1952-07-13 16:00:00,3.3,1.78,4,68
557,1952-07-14 00:00:00,1952-07-14 00:00:00,2.03,2.03,1,7
559,1952-07-14 09:00:00,1952-07-14 10:00:00,2.03,1.27,2,8
561,1952-07-20 02:00:00,1952-07-20 14:00:00,24.14,7.37,13,135
563,1952-07-24 18:00:00,1952-07-24 21:00:00,25.4,17.78,4,99
565,1952-08-01 14:00:00,1952-08-01 15:00:00,0.76,0.51,2,184
567,1952-08-01 21:00:00,1952-08-01 21:00:00,7.87,7.87,1,5
569,1952-08-06 17:00:00,1952-08-06 17:00:00,0.51,0.51,1,115
571,1952-08-07 18:00:00,1952-08-07 19:00:00,20.32,17.02,2,24
573,1952-08-08 15:00:00,1952-08-08 15:00:00,2.29,2.29,1,19
575,1952-08-09 15:00:00,1952-08-09 15:00:00,0.76,0.76,1,23
577,1952-08-10 14:00:00,1952-08-10 18:00:00,1.77,1.27,5,22
579,1952-08-11 16:00:00,1952-08-11 17:00:00,3.3,1.78,2,21
581,1952-08-15 00:00:00,1952-08-15 02:00:00,1.01,0.76,3,78
583,1952-08-15 18:00:00,1952-08-15 20:00:00,36.57,33.02,3,15
585,1952-08-16 17:00:00,1952-08-16 18:00:00,5.33,3.3,2,20
587,1952-08-20 18:00:00,1952-08-20 18:00:00,1.02,1.02,1,95
589,1952-08-23 22:00:00,1952-08-24 00:00:00,3.05,1.27,3,75
591,1952-08-24 16:00:00,1952-08-24 23:00:00,8.63,6.86,8,15
593,1952-08-25 05:00:00,1952-08-25 14:00:00,78.73,23.11,10,5
595,1952-08-26 13:00:00,1952-08-26 13:00:00,0.25,0.25,1,22
597,1952-08-27 00:00:00,1952-08-27 05:00:00,11.17,8.38,6,10
599,1952-08-28 22:00:00,1952-08-29 00:00:00,35.56,14.22,3,40
601,1952-08-30 03:00:00,1952-08-30 17:00:00,48,12.7,15,26
603,1952-09-02 17:00:00,1952-09-02 20:00:00,6.34,4.57,4,71
605,1952-09-04 16:00:00,1952-09-05 01:00:00,35.31,26.67,10,43
607,1952-09-08 15:00:00,1952-09-08 20:00:00,5.08,3.81,6,85
609,1952-09-09 02:00:00,1952-09-09 02:00:00,2.79,2.79,1,5
611,1952-09-10 23:00:00,1952-09-11 14:00:00,32.75,7.62,16,44
613,1952-09-14 07:00:00,1952-09-14 07:00:00,0.25,0.25,1,64
615,1952-09-19 11:00:00,1952-09-19 11:00:00,2.54,2.54,1,123
617,1952-09-19 18:00:00,1952-09-19 20:00:00,1.26,0.76,3,6
619,1952-09-20 14:00:00,1952-09-20 20:00:00,2.03,1.02,7,17
621,1952-09-21 12:00:00,1952-09-21 21:00:00,25.15,13.72,10,15
623,1952-09-22 04:00:00,1952-09-22 04:00:00,0.25,0.25,1,6
625,1952-09-22 13:00:00,1952-09-22 16:00:00,17.78,12.19,4,8
627,1952-09-24 09:00:00,1952-09-24 19:00:00,9.12,3.3,11,40
629,1952-09-25 02:00:00,1952-09-25 09:00:00,16.25,9.91,8,6
631,1952-09-25 15:00:00,1952-09-26 02:00:00,3.3,0.76,12,5
633,1952-09-28 19:00:00,1952-09-28 21:00:00,2.29,1.27,3,64
635,1952-09-29 03:00:00,1952-09-29 03:00:00,2.03,2.03,1,5
637,1952-10-05 11:00:00,1952-10-05 14:00:00,0.5,0.25,4,151
639,1952-10-07 02:00:00,1952-10-07 07:00:00,15.49,4.57,6,35
641,1952-10-07 23:00:00,1952-10-09 01:00:00,8.87,1.78,27,15
643,1952-10-15 00:00:00,1952-10-15 01:00:00,0.5,0.25,2,142
645,1952-10-15 17:00:00,1952-10-15 18:00:00,15.75,13.97,2,15
647,1952-10-19 00:00:00,1952-10-19 01:00:00,2.54,1.78,2,77
649,1952-10-19 11:00:00,1952-10-19 20:00:00,22.6,4.57,10,9
651,1952-10-21 01:00:00,1952-10-21 12:00:00,20.58,3.81,12,28
653,1952-11-01 05:00:00,1952-11-01 05:00:00,0.51,0.51,1,256
655,1952-11-11 16:00:00,1952-11-11 17:00:00,1.02,0.51,2,250
657,1952-11-20 02:00:00,1952-11-20 14:00:00,14.73,6.6,13,200
659,1952-12-03 01:00:00,1952-12-03 02:00:00,0.76,0.51,2,298
661,1952-12-05 13:00:00,1952-12-05 14:00:00,1.01,0.76,2,58
663,1952-12-10 17:00:00,1952-12-10 18:00:00,3.55,3.3,2,122
665,1952-12-20 14:00:00,1952-12-20 20:00:00,7.36,6.35,7,235
667,1952-12-26 13:00:00,1952-12-26 13:00:00,0.25,0.25,1,136
669,1952-12-31 06:00:00,1952-12-31 09:00:00,19.3,13.97,4,112
671,1953-01-02 18:00:00,1953-01-02 18:00:00,0.25,0.25,1,56
673,1953-01-08 14:00:00,1953-01-08 17:00:00,19.3,13.97,4,139
675,1953-01-09 00:00:00,1953-01-09 15:00:00,43.18,9.91,16,6
